Hungarian,English
nem,not
az,the
hogy,that
és,and
egy,one
van,there is
ez,this
is,too
de,but
meg,yes
csak,only
ha,if
mi,What
én,I
azt,that
volt,volt
igen,Yes
vagy,or
kell,must
el,away
itt,here
már,already
még,yet
ne,not
te,you
ki,Who
mit,what
ezt,this
vagyok,i am
most,now
jó,good
tudom,i know
úgy,business
miért,Why
akkor,then
mint,as
ő,he
jól,well
lesz,will be
nagyon,very
nincs,there is none
mert,because
minden,all
sem,neither
amit,what
olyan,it's like that
rendben,ok
így,like this
be,in
volna,would have
oké,ok
nekem,me
le,juice
fel,up
tudod,you know
ott,there
lehet,it can be
valami,something
majd,then
mindig,always
talán,maybe
maga,yourself
köszönöm,Thanks
semmi,nothing
hát,well
aki,who
amikor,when
hol,where
neki,him
szóval,so
neked,thee
ami,which
kis,small
hé,hey
tényleg,really
hiszem,i believe
elég,enough
valamit,something
fog,will
lenne,would be
ó,he
igaz,TRUE
rá,on him
vele,with him
milyen,what's it like
ilyen,such
ide,here
biztos,sure
uram,sir
őket,them
vissza,back
nagy,large
tudja,you know
ma,today
egész,whole
sajnálom,I'm sorry
nos,married
mikor,When
vagyunk,we are
gyerünk,Come on
vannak,are
azért,for that
ember,human
történt,it happened
mr,Mr
persze,of course
túl,over
sok,many
mondta,he said
két,two
értem,I understand
gyere,come on
szia,Hi
valaki,someone
ahogy,as
aztán,then
pedig,while
kicsit,a little
engem,me
ezért,therefore
velem,with me
arra,to that
voltam,I was
mondtam,I said
ugye,isn't it
mindent,everything
őt,him
na,well
kellett,had to
új,new
más,other
semmit,nothing
benne,in it
se,neither
nézd,look
akarsz,you want
szerintem,I think so
miatt,because of
kérem,Please
jobb,right
veled,with you
akarok,i want
akarom,i want
erre,for this
több,more
kérlek,please
baj,charm
mindenki,everyone
legyen,be
kéne,should
soha,never
menj,go
nap,day
akar,will
magát,himself
együtt,together
rám,on me
senki,nobody
szép,beautiful
át,over
első,first
mintha,as if
pár,par
rossz,bad
este,evening
ezek,these
minket,us
után,after
emberek,people
téged,you
róla,about it
szerint,according to
várj,wait
hogyan,how
újra,again
sosem,never
láttam,i saw
tudok,i can
tudtam,i knew
istenem,my god
ön,tin
kellene,should
dolog,thing
ja,yes
akartam,i wanted
hittem,I believed
mondja,he says
egyszer,once
annyira,so much
igazán,really
oda,ode
mondd,tell me
amíg,until
másik,another
apa,father
egyik,one
lenni,to be
tessék,here you go
megyek,i'm going
gondoltam,I thought
tűnik,it seems
lett,Latvian
néhány,some
magam,myself
inkább,rather
érted,you understand
jobban,better
anya,maternal
innen,from here
saját,own
rajta,on it
ezzel,with this
épp,right now
alatt,under
ebben,in this
elnézést,sorry
úr,Mr.
legjobb,best
teljesen,completely
figyelj,listen
tud,can
magad,yourself
három,three
egyetlen,single
hozzá,to it
megy,going
jön,is coming
mielőtt,before
szó,weave
mind,both
egyedül,alone
menjünk,let's go
komolyan,seriously
akarod,you want
oh,oh
mondani,to say
micsoda,what
akik,who
voltál,you were
isten,God
mire,what
tovább,further
előtt,before
vége,it's over
voltak,were
ahol,where
ők,they
hadd,let
nekünk,us
holnap,tomorrow
szeretném,i would like
nő,woman
honnan,from where
nélkül,without
ennek,of this
tehát,so
pontosan,exactly
azok,those
áll,stands
dr.,dr.
először,first
mégis,still
fogok,i will
tudjuk,we know
csinálsz,you do
azzal,with that
remek,it's great
akarja,he wants
beszélni,to speak
erről,about this
mondom,I say
idő,time
megint,again
látni,to see
haver,buddy
fogja,will
nehéz,difficult
leszek,i will be
jött,he came
rád,to you
lány,girl
gyorsan,fast
remélem,I hope so
ti,you
hallottam,i heard
fogom,i will
hanem,rather
helló,Hello
tudni,to know
pont,point
össze,together
látom,i see
igazi,real
tudsz,you can
sokat,a lot
sincs,neither
nekik,them
egyet,one
haza,home
örülök,i'm glad
utolsó,last
mondtad,you said
menni,to go
szeretnék,i want
később,later
mivel,since
megvan,I have it
érzem,i feel
ezen,on this
miről,about what
ennyi,that's all
legalább,at least
ugyan,same
kösz,dirt
azonnal,immediately
ideje,it's time
magának,for yourself
sokkal,much
fogsz,you will
csinálni,to do
férfi,man
tegnap,yesterday
bele,into it
hagyd,leave it
fontos,important
srácok,guys
akit,whom
kedves,nice
arról,about it
nagyszerű,great
pénzt,money
végre,finally
gond,trouble
érdekel,I'm interested
annak,of that
azon,on it
reggel,morning
éves,years old
gondolom,i think
tenni,to do
többet,More
tetszik,like
attól,from that
kész,ready
összes,all
apám,my father
mennem,to go
ment,went
helyzet,state
többé,anymore
abba,to stop
néha,sometimes
meghalt,died
biztosan,for sure
állj,Stop
egyáltalán,at all
éve,year
szükségem,i need
néz,looks
halott,dead
boldog,happy
szeretlek,i love you
következő,following
hely,place
látod,you see
képes,can
fiam,my son
beszélsz,you speak
szeretem,i love it
add,add
mrs,mrs
ezeket,these
dolgot,thing
számít,it matters
hová,where
között,between
vagytok,you are
szerinted,you think
abban,in that
régi,old
fickó,guy
óta,since
jelent,means
segíteni,to help
történik,is happening
találkozunk,see you
világ,world
készen,ready
mondott,said
perc,minute
beszél,speaks
míg,while
majdnem,almost
jöttem,i came
ellen,against
aha,aha
úgyhogy,so
fiú,boy
szabad,free
öt,him
hova,where
ahhoz,to that
valakit,someone
megyünk,we are going
jöjjön,come
valaha,ever
francba,damn it
tettem,I did
óra,hour
barátom,my friend
neve,name
nézze,Look
dolgokat,things
s,s
addig,until then
köszi,thank you
mész,lime
múlva,after
hozzám,to me
folyik,flow
enyém,mine
velünk,with us
érte,for him
tőle,from him
miután,after
fél,afraid
munka,work
éppen,right now
leszel,you will be
valószínűleg,probably
tedd,do it
légy,fly
főnök,boss
amint,as soon as
drágám,Honey
mondod,you say
bár,bar
bármit,anything
gondolsz,you think
király,king
emlékszel,you remember
hülye,stupid
emlékszem,i remember
dolgok,things
jelenti,means
kérek,wheel
előbb,first
mindjárt,soon
miss,miss
fognak,they will
ilyet,like that
maradj,stay
tőlem,from me
gondolod,you think
napot,day
mennyi,How much
gyönyörű,beautiful
valóban,indeed
utána,after
bármi,anything
mennyire,how
akár,will
természetesen,of course
fogunk,we will
akart,wanted
valójában,actually
viszlát,goodbye
nézz,look
vicces,funny
tette,he did
anyám,my mother
négy,four
beszélek,I speak
tökéletes,perfect
teljes,complete
éjjel,at night
kapitány,captain
tudta,he knew
embert,man
tett,deed
szüksége,needs
való,it's real
elment,he left
helyet,place
találtam,i found
év,year
gyerek,child
eddig,so far
jaj,oh
vettem,i bought
tudják,they know
sikerült,succeeded
ezelőtt,ago
fogd,take it
csinál,does
öreg,old
ég,sky
velük,with them
annyi,that's all
életben,alive
mióta,since
pénz,money
egyszerűen,simply
igazad,you are right
mond,tell
tiszta,clean
otthon,home
jack,jack
élet,life
szól,says
hosszú,long
belőle,from it
igazából,actually
üdv,welcome
john,John
igaza,right
menjen,go
aggódj,worry
szépen,nicely
fogod,you will
hangzik,it sounds
vedd,take it
helyes,correct
jövök,I'm coming
bocs,sorry
mást,something else
közel,near
fiúk,boys
ötlet,idea
new,new
viszont,on the other hand
tart,lasts
ok,they
reggelt,in the morning
végül,finally
halló,Hallo
hamarosan,soon
hiszed,you believe
jár,goes
bocsánat,sorry
látta,he saw
sose,never
doktor,doctor
hét,seven
maguk,themselves
ebből,of this
furcsa,strange
alig,barely
fenébe,damn it
időt,time
egymást,each other
többi,others
életem,my life
korábban,earlier
lennék,I would be
voltunk,we're
muszáj,I have to
elő,live
vagyis,that is
h,h
rosszul,poorly
munkát,work
sokáig,long
kurva,bitch
hat,six
pillanat,moment
kapcsolatban,in connection
szívesen,welcome
ismerem,i know
vigyázz,take care
mellett,beside
önnek,to you
ehhez,for this
melyik,which
marad,stays
jössz,you are coming
eltűnt,disappeared
rendőrség,police
nyugi,take it easy
beteg,patient
akarta,he wanted
lennie,to be
srác,guy
ennyire,so much
második,second
különleges,special
gyerekek,kids
dolgozni,to work
érti,understands
működik,it works
jönni,to come
magával,with you
csináld,do it
apád,your father
rólam,about me
ügy,business
kérdés,question
láttad,you saw
komoly,serious
él,live
bennem,in me
keresztül,through
akinek,to whom
egyszerű,simple
őrült,crazy
dolgozik,is working
embereket,people
gondolja,he thinks
hívják,is called
felé,towards
erős,strong
belül,within
fehér,white
fekete,black
maradt,remained
csodálatos,wonderful
annyit,so much
lehetséges,possible
szívem,my heart
azokat,those
sam,Sam
mindketten,both
kaptam,i got
várjon,Wait
tudunk,we know
gyilkos,killer
alá,under
hiszi,believes
édes,sweet
amire,to which
vár,is waiting
hatalmas,powerful
mindegy,it doesn't matter
tőled,from you
fiatal,young
hello,Hello
köszönjük,thank you
igazság,truth
kibaszott,fucking
apja,his father
közben,during
bárki,anyone
kettő,two
nagyobb,bigger
nincsenek,there are none
fene,heck
héten,week
úton,on the way
segítség,Help
múlt,past
érdekes,interesting
könnyű,easy
számára,for him
akarnak,they want
szörnyű,horrible
uraim,gentlemen
ajtót,door
mindenkinek,to everyone
nevem,my name
mármint,I mean
segít,help
kívül,outside
előre,forward
asszonyom,ma'am
nálam,at my place
amiért,for which
nézel,you look
ketten,two of them
különben,otherwise
része,part of it
valahol,somewhere
mondják,they say
venni,to take
csináltam,I did it
elnök,president
tartani,to keep
hány,How many
lesznek,they will be
probléma,problem
e,e
beszéltem,i spoke
fogjuk,we will
élni,to live
ettől,from this
percet,minute
ügynök,agent
máris,already
esetleg,possibly
egyre,increasingly
fordította,translated
michael,michael
tele,full
leszünk,we will be
igazat,truth
tesz,does
kit,who
egészen,all the way
mondjuk,let's say
szükségünk,we need
legnagyobb,largest
tudjátok,you know
nyomozó,detective
bent,inside
minek,for what
jöttél,you came
adni,to give
tíz,ten
szót,word
évvel,years
például,for example
mondták,they said
tűnt,it seemed
titeket,you
család,family
veszélyes,dangerous
meleg,warm
ér,worth
the,the
került,cost
hagyja,leave it
tiéd,yours
halál,death
fegyvert,weapon
kicsi,small
szent,holy
lányok,girls
kicsim,baby
magukat,themselves
ránk,on us
adj,give
ház,house
édesem,Honey
fogják,they will
adott,given
hozzád,to you
adja,gives
félek,I'm afraid
lehetett,could have been
eléggé,enough
szükség,need
újabb,more recent
mai,today
fáj,species
amiket,which
régen,a long time ago
kemény,chimney
rengeteg,a lot
mindenkit,everyone
éreztem,I felt it
segíts,help me
látszik,it seems
amerikai,American
véget,end
körül,around
rohadt,damn it
mondok,I say
kerül,costs
beszélt,spoke
éjszaka,night
mondtál,you said
lehetne,could be
valahogy,somehow
hirtelen,suddenly
rögtön,right away
barátok,friends
jót,good
végig,throughout
köze,it has to do with
dehogy,no way
ért,understood
biztonsági,security
bocsi,sorry
békén,in peace
szereti,he loves
kinek,to whom
tudtad,you knew
charlie,Charlie
kapott,got
egyébként,by the way
helyen,place
mennünk,we should go
anyu,mom
jönnek,they are coming
ölni,to kill
látja,he sees
szar,stem
vajon,whether
jézusom,my jesus
szeretnél,you want
járt,visited
tom,Tom
hisz,think
szegény,poor
nektek,to you
érzés,feeling
frank,franc
okos,clever
mike,mike
hoztam,I brought
út,beat
biztonságban,safe
mögött,behind
onnan,from there
esküszöm,I swear
ismeri,he knows
bárcsak,I wish
értettem,I understood
találkoztunk,we met
segíthetek,I can help
távol,far
ugyanaz,same
sajnos,unfortunately
napja,day
kölyök,kid
mindannyian,all of us
értelme,meaning
érzed,you feel
emberi,human
hallani,to hear
szeretne,would like to
kint,outside
orvos,doctor
senkit,nobody
csapat,team
elmúlt,past
gondol,think
lássuk,let's see
ennél,than this
fia,his son
ismered,you know
késő,late
apu,dad
legyek,flies
keres,request
feleségem,my wife
annál,than that
felesége,his wife
lányt,girl
david,david
egészet,whole
merre,to where
folyton,all the time
mozgás,move
talált,found
rólad,about you
senkinek,to no one
barátja,his friend
életét,his life
oka,reason
beszélünk,we speak
valakinek,to someone
keresel,you are looking for
magára,to himself
tegye,do it
gyertek,come
george,george
halt,dead
dollár,dollar
ezer,thousand
legközelebb,next time
tartok,i hold
szükséged,you need
hihetetlen,incredible
kifelé,outward
fura,strange
város,city
itthon,at home
szeret,loves
beszélj,speak
megértem,I understand
elmegyek,I'm leaving
időben,on time
lgen,angel
ülj,sit down
anyád,your mother
fogalmam,my concept
mondanom,to say
utat,road
millió,million
hátra,back
csinált,did
idióta,idiot
városban,in town
lassan,slowly
nevét,your name
kik,who
lehetetlen,impossible
megfelelő,appropriate
víz,water
szerelem,love
nézni,to watch
számomra,for me
aludni,to sleep
imádom,I love it
kivéve,except
joe,Joe
helyre,to place
utoljára,for the last time
peter,peter
t,t
lényeg,essence
amúgy,anyway
á,the
bizony,sure
benned,in you
miközben,while
felejtsd,forget it
teszi,does
ben,in
tettél,you did
észre,notice
hír,news
alapján,based on
maradjon,stay
közül,from
hallom,I hear
gondolok,I think
őszintén,honestly
amivel,with which
önt,you
rosszabb,worse
csinálja,do it
tudott,known
életet,life
dolgozom,I work
szerettem,i loved
nőt,woman
legyél,be
látok,I see
hozott,brought
azóta,since then
általában,in general
végén,at the end
estét,evening
nyugodtan,take it easy
éjt,night
megölni,to kill
tartsd,keep
részt,part
anyja,his mother
jutott,arrived
drága,expensive
i,i
hiányzik,missing
hagyjuk,let's leave it
bizonyos,certain
üzenetet,message
egyes,some
próbáltam,I tried
megölte,killed him
gratulálok,Congratulations
rég,long ago
jövő,future
uh,ugh
kérsz,you ask
napon,day
kislány,little girl
emiatt,because of this
állsz,you stand
tudnak,they can
l,l
rész,part
azután,then
baja,trouble
messze,far
csodás,wonderful
szemét,trash
hölgyem,my lady
föld,Earth
találni,to find
mostanában,lately
csomó,knot
szuper,super
akivel,with whom
látott,seen
állt,stood
ah,oh
hívott,called
kezd,start
ilyesmi,something like that
titkos,secret
bocsánatot,an apology
lennél,you would be
büszke,proud
játszani,to play
magas,high
ideig,for a while
házban,in the house
o,he
nők,women
nézzétek,look
dolgom,my business
james,james
állok,I am standing
szereted,you love
áldozat,sacrifice
elmondom,I will tell you
vér,blood
kap,get
miféle,what kind
adok,I give
gonosz,evil
nézzük,let's look
hiszen,since
normális,normal
ebbe,into this
nyomás,pressure
terv,plan
mások,others
sötét,dark
szeretné,would like to
ám,but
csinálok,I do
hallgass,listen
játék,game
odakint,out there
maradni,to stay
harmadik,third
akarják,they want
csináljuk,let's do it
bíró,judge
lányom,my daughter
módon,manner
rajtam,on me
beszélnünk,to speak
érzi,feels
hagyom,i leave
évben,year
nálad,with you
találkoztam,I met
kissé,slightly
világon,in the world
tehetek,I can
hölgyeim,ladies
hogyne,how about
hála,gratitude
menjetek,go
lettem,I became
házat,house
tűz,fire
háború,war
hagyj,leave
ennyit,that much
hozd,bring
ügyet,case
kutya,dog
hadnagy,lieutenant
közös,common
elmondani,to tell
utálom,I hate it
danny,Danny
jut,gets
dühös,angry
szerelmes,in love
őszinte,honest
hagyni,to leave
várjunk,let's wait
eszembe,to my mind
szinte,almost
hajó,ship
enni,to eat
nyisd,open it
rendbe,okay
nála,with him
tennem,I should do
fegyver,weapon
mondjam,let me say
hideg,cold
valódi,real
picsába,fuck you
adtam,I gave
mennyit,how much
ad,gives
óvatosan,carefully
képet,picture
henry,henry
adta,gave
vidd,take it
éhes,hungry
vizet,water
igenis,yes
személyes,personal
szomorú,sad
csináltál,you did
rajtad,on you
várom,I'm waiting
kávét,coffee
hacsak,unless
bajod,your trouble
jézus,Jesus
nevű,named
állunk,we stand
létezik,exist
kíváncsi,curious
amiről,about which
gyereket,a child
egyenesen,straight
kár,damage
szét,apart
seggfej,asshole
ölte,her lap
ms,Ms.
szerencsét,good luck
bébi,baby
hallottad,you heard
engedd,let me
m,m
vette,took
évek,years
maradok,I will stay
hibám,my fault
meghalni,to die
lévő,existing
szeretnéd,you want
figyeljen,listen
eljött,he came
alex,alex
mondj,say
vörös,red
életed,your life
paul,Paul
hívd,call me
baleset,accident
találkozni,to meet
csinálod,you do
mama,mom
lánya,his daughter
csupán,only
siess,hurry up
hiszek,I believe
tartozik,owe
teszem,I do
dolgozott,worked
megmondtam,I told you
mostantól,from now on
mentem,I went
ismét,again
szükséges,necessary
férjem,my husband
férje,her husband
gyors,fast
minél,as much as possible
parancsnok,commander
üres,empty
segítsen,help me
előző,previous
nyugalom,tranquility
szemben,against
rájuk,on them
állandóan,constantly
meddig,how long
emlékszik,remembers
kétszer,twice
éjszakát,night
hagytam,I left it
évig,until
abból,from that
gyakran,often
életemben,in my life
mehet,you can go
mondasz,you say
bolond,fool
elé,edge
finom,fine
kér,asks for
úgyis,anyway
hónapja,month
mary,Mary
kék,blue
hívj,call me
dollárt,dollars
magunkat,ourselves
akartál,you wanted
világos,clear
kapni,to receive
szeretnénk,we want
szeretek,I love you
régóta,for a long time
sarah,Sarah
kicsoda,who
kedvesem,my dear
segítek,I help
szállj,get off
hívja,call him
kedvenc,favorite
akarunk,we want
hagyta,left it
élete,his life
felség,majesty
barátod,your friend
haragudj,be angry
időm,my time
sziasztok,hello
földön,on earth
nick,nickname
történet,history
rendes,normal
világot,world
bármilyen,any
foglak,teeth
őrmester,sergeant
könnyen,easily
kezét,hands
közelebb,closer
fantasztikus,fantastic
you,you
magadra,to yourself
ártatlan,innocent
főleg,mainly
hozzánk,to us
hasonló,similar
baba,midwife
gyilkosság,murder
kezdjük,let's start
jelenleg,currently
jane,jane
hozni,to bring
hölgy,lady
lehetőség,possibility
mutasd,show me
találtunk,we found
hívnak,they call me
rájöttem,I realized
vett,took
úristen,god
esetben,case
fent,above
átkozott,cursed
valakivel,with someone
embernek,to a person
időnk,our time
többiek,others
kivel,with whom
órát,hours
tábornok,general
korán,early
amely,which
csinos,pretty
legtöbb,most
kisasszony,Miss
ígérem,I promise
amiben,in which
ray,ray
zárva,closed
ideges,nervous
valamilyen,some kind
olyat,such
mennek,they go
miattad,because of you
tudnám,I could
csinálom,I do
használni,to use
során,during
anélkül,without
kocsi,car
kocsit,car
jimmy,jimmy
félre,aside
bizonyíték,evidence
elől,from
keményen,hard
max,max
semmilyen,none
hidd,believe
hívni,to call
sokan,many people
szeretsz,you love me
mégsem,not yet
órája,its hour
kérni,to ask for
pillanatban,moment
jöttünk,we came
esélyt,a chance
mondjak,let me say
szólj,tell me
bármikor,at any time
jim,jim
bob,bob
fenét,damn it
jöttek,they came
kezdődik,begins
terhes,pregnant
nappal,during the day
szerencsés,lucky
asszony,woman
aranyos,cute
ezredes,colonel
álljon,stand
közepén,in the middle
beszélnem,to speak
kérdést,a question
veszi,takes
szólt,said
tök,pumpkin
akiket,whom
percre,for a minute
ellenére,despite
illeti,concerns
hozta,brought
tartja,holds
ajtó,door
földre,to the ground
tartott,held
nyolc,eight
próbáld,try it
hinném,I think so
küldött,sent
véletlenül,accidentally
bill,bill
elhinni,to believe
fickót,guy
amik,which
nyugodj,calm down
óriási,giant
csinálta,did it
harry,Harry
tudná,would you know
lee,Lee
mérges,angry
kapsz,you get
bocsáss,forgiveness
esett,fell
nevetséges,ridiculous
nálunk,with us
miatta,because of him
segített,helped
hónap,month
atyám,my father
amy,amy
várni,to wait
tony,Tony
hinni,to believe
rendőr,policeman
remekül,great
no,woman
zsaru,cop
örökké,forever
próbálok,i'm trying
kiderült,it turned out
nézek,I look
örökre,forever
tetted,you did
által,by
akarjuk,we want
vártam,I waited
közt,between
választ,choose
mester,master
hátha,just in case
will,will
önnel,with you
név,name
szólsz,you speak
tudna,could
esik,it is raining
orvosi,medical
vált,changed
aznap,that day
hű,TRUE
meghal,dies
csaj,chick
steve,steve
börtönbe,to prison
alkalommal,times
tegyek,do
megtalálni,to find
szívességet,a favor
helyett,instead of
szart,shit
adom,I give
hiba,fault
családi,family
üdvözlöm,I welcome you
nevet,he laughs
kértem,I asked
óh,oh
miattam,because of me
franc,French
örömmel,with pleasure
lehetsz,you can be
dehogynem,of course
bírom,I can handle it
találtak,found
mentek,they went
börtönben,in prison
tommy,Tommy
különös,strange
lakik,resides
doki,doc
kórházba,to hospital
nyitva,open
vegye,take
ötletem,my idea
végeztem,I finished
tudnom,to know
férfiak,men
halála,his death
nyilván,obviously
hmm,hmm
maradsz,you stay
helyi,local
önök,you
csinálunk,we do
azelőtt,before
továbbra,continue
